OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN--2145625508,Sample-Routine,Water,,2009-05-24,14:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.14,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625508,Sample-Routine,Water,,2009-05-24,14:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,1.15,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625508,Sample-Routine,Water,,2009-05-24,14:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.62,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627089,Sample-Routine,Water,,2009-05-24,14:15:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.14,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627089,Sample-Routine,Water,,2009-05-24,14:15:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627089,Sample-Routine,Water,,2009-05-24,14:15:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,1.05,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627977,Sample-Routine,Water,,2009-05-24,14:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627977,Sample-Routine,Water,,2009-05-24,14:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.9,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627977,Sample-Routine,Water,,2009-05-24,14:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.43,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632131,Sample-Routine,Water,,2009-05-24,14:10:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.84,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632131,Sample-Routine,Water,,2009-05-24,14:10:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632131,Sample-Routine,Water,,2009-05-24,14:10:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.82,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635675,Sample-Routine,Water,,2009-05-24,14:05:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635675,Sample-Routine,Water,,2009-05-24,14:05:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.3,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635675,Sample-Routine,Water,,2009-05-24,14:05:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.37,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625112,Sample-Routine,Water,,2009-06-24,19:15:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.83,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625112,Sample-Routine,Water,,2009-06-24,19:15:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.38,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625112,Sample-Routine,Water,,2009-06-24,19:15:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.14,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625118,Sample-Routine,Water,,2009-06-24,18:45:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.64,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625118,Sample-Routine,Water,,2009-06-24,18:45:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.69,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625118,Sample-Routine,Water,,2009-06-24,18:45:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.11,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635301,Sample-Routine,Water,,2009-06-24,19:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.51,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635301,Sample-Routine,Water,,2009-06-24,19:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635301,Sample-Routine,Water,,2009-06-24,19:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.4,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635666,Sample-Routine,Water,,2009-06-24,18:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.14,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635666,Sample-Routine,Water,,2009-06-24,18:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.31,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635666,Sample-Routine,Water,,2009-06-24,18:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.63,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635934,Sample-Routine,Water,,2009-06-24,18:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.68,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635934,Sample-Routine,Water,,2009-06-24,18:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.95,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635934,Sample-Routine,Water,,2009-06-24,18:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626647,Sample-Routine,Water,,2009-07-22,12:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.5,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626647,Sample-Routine,Water,,2009-07-22,12:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.7,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626647,Sample-Routine,Water,,2009-07-22,12:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629387,Sample-Routine,Water,,2009-07-22,10:50:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.1,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629387,Sample-Routine,Water,,2009-07-22,10:50:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.01,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629387,Sample-Routine,Water,,2009-07-22,10:50:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.44,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145634341,Sample-Routine,Water,,2009-07-22,11:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.69,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145634341,Sample-Routine,Water,,2009-07-22,11:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.67,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145634341,Sample-Routine,Water,,2009-07-22,11:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636226,Sample-Routine,Water,,2009-07-22,10:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.65,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636226,Sample-Routine,Water,,2009-07-22,10:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.49,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636226,Sample-Routine,Water,,2009-07-22,10:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.15,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636898,Sample-Routine,Water,,2009-07-22,10:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,6.66,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636898,Sample-Routine,Water,,2009-07-22,10:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.41,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636898,Sample-Routine,Water,,2009-07-22,10:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625075,Sample-Routine,Water,,2009-08-18,11:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625075,Sample-Routine,Water,,2009-08-18,11:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,6.48,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625075,Sample-Routine,Water,,2009-08-18,11:30:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.67,mg/l,,Final,,Actual,,,,,,1,,0.5,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629937,Sample-Routine,Water,,2009-08-18,12:35:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.75,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629937,Sample-Routine,Water,,2009-08-18,12:35:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,1.09,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629937,Sample-Routine,Water,,2009-08-18,12:35:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,1,,40,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630541,Sample-Routine,Water,,2009-08-18,11:40:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630541,Sample-Routine,Water,,2009-08-18,11:40:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,5.37,mg/l,,Final,,Actual,,,,,,1,,10,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631666,Sample-Routine,Water,,2009-08-18,12:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631666,Sample-Routine,Water,,2009-08-18,12:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.26,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631666,Sample-Routine,Water,,2009-08-18,12:00:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,0.74,mg/l,,Final,,Actual,,,,,,1,,20,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632647,Sample-Routine,Water,,2009-08-18,12:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Organic carbon,Dissolved,4.72,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,62,CEDEN,EPA 415.1,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632647,Sample-Routine,Water,,2009-08-18,12:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Nitrogen,Total,1.07,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,4056,CEDEN,SM 4500-N C,,CH2MHILL,1950-01-01,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632647,Sample-Routine,Water,,2009-08-18,12:20:00,PST,,,,,,,,,,,KHSA_Baseline_2009,,CEDEN-KR19019_KHSA,,,,,Water_Grab,CEDEN,Water_Grab,Miscellaneous (Other),,Phosphorus,Total,0.17,mg/l,,Final,,Actual,,,,,,1,,30,m,,,,181,CEDEN,EPA 365.4,,CH2MHILL,1950-01-01,,,,,,STORET
