OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN--2145625508,2009-05-24,14:20:00,PST,CEDEN-KR19019_KHSA,STORET-725457257,,,as P,Phosphorus,Total,0.14,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625508,2009-05-24,14:20:00,PST,CEDEN-KR19019_KHSA,STORET-725457258,,,,Nitrogen,Total,1.15,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145625508,2009-05-24,14:20:00,PST,CEDEN-KR19019_KHSA,STORET-725457260,,,,Organic carbon,Dissolved,4.62,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627089,2009-05-24,14:15:00,PST,CEDEN-KR19019_KHSA,STORET-725889506,,,,Organic carbon,Dissolved,5.14,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627089,2009-05-24,14:15:00,PST,CEDEN-KR19019_KHSA,STORET-725889507,,,as P,Phosphorus,Total,0.16,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627089,2009-05-24,14:15:00,PST,CEDEN-KR19019_KHSA,STORET-725889508,,,,Nitrogen,Total,1.05,mg/l,,Final,,Actual,,,,,,,,,,1,,30,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627977,2009-05-24,14:00:00,PST,CEDEN-KR19019_KHSA,STORET-725768595,,,as P,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627977,2009-05-24,14:00:00,PST,CEDEN-KR19019_KHSA,STORET-725768596,,,,Organic carbon,Dissolved,4.9,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,62,CEDEN,EPA 415.1,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627977,2009-05-24,14:00:00,PST,CEDEN-KR19019_KHSA,STORET-725768598,,,,Nitrogen,Total,0.43,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632131,2009-05-24,14:10:00,PST,CEDEN-KR19019_KHSA,STORET-725901206,,,,Nitrogen,Total,0.84,mg/l,,Final,,Actual,,,,,,,,,,1,,20,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
